,geo_value,time_value,value,sample_size,trend
517,wi,2021-01-05,76.641,6289.9446,33
518,wv,2021-01-05,68.1415,3042.1587,46
519,wy,2021-01-05,59.7668,785.8083,0
520,ak,2021-01-06,69.3242,946.0,0
521,al,2021-01-06,63.3133,4994.1389,19
522,ar,2021-01-06,67.4342,3487.6891,0
523,az,2021-01-06,73.8111,6707.1548,20
524,ca,2021-01-06,78.8926,30128.3509,31
525,co,2021-01-06,78.966,5886.7845,21
526,ct,2021-01-06,81.5499,4793.0,31
527,dc,2021-01-06,89.6667,449.0,29
528,de,2021-01-06,75.7788,1508.0073,0
529,fl,2021-01-06,70.675,20294.0021,65
530,ga,2021-01-06,64.2556,7567.8911,70
531,hi,2021-01-06,76.8794,1143.0,0
532,ia,2021-01-06,75.0458,4303.2685,24
533,id,2021-01-06,68.6176,2257.8947,45
534,il,2021-01-06,75.0853,13459.0212,13
535,in,2021-01-06,68.8387,7327.0006,27
536,ks,2021-01-06,72.5828,3490.8388,0
537,ky,2021-01-06,69.2253,4859.9396,16
538,la,2021-01-06,63.1067,4926.3653,65
539,ma,2021-01-06,82.4873,6323.0175,8
540,md,2021-01-06,79.76,5124.9893,23
541,me,2021-01-06,78.1106,2386.0,0
542,mi,2021-01-06,73.6767,12769.0533,8
543,mn,2021-01-06,79.6404,5069.1069,0
544,mo,2021-01-06,69.6084,5986.0692,46
545,ms,2021-01-06,60.6515,3200.0813,0
546,mt,2021-01-06,69.8318,1617.0318,0
547,nc,2021-01-06,70.095,12002.0117,17
548,nd,2021-01-06,70.5096,784.94,0
549,ne,2021-01-06,77.0094,2233.833,0
550,nh,2021-01-06,79.9587,2177.0,94
551,nj,2021-01-06,77.2091,7218.9977,39
552,nm,2021-01-06,76.8238,2183.1685,60
553,nv,2021-01-06,72.4909,2483.5029,94
554,ny,2021-01-06,75.8533,16289.0024,27
555,oh,2021-01-06,69.1092,13257.0055,0
556,ok,2021-01-06,68.7282,5039.6816,44
557,or,2021-01-06,76.3885,4938.9629,0
558,pa,2021-01-06,73.1442,14359.0092,13
559,ri,2021-01-06,80.2556,1368.9825,0
560,sc,2021-01-06,65.928,7062.0049,0
561,sd,2021-01-06,72.1885,1163.5211,0
562,tn,2021-01-06,67.7418,7529.0633,53
563,tx,2021-01-06,70.698,23341.4747,69
564,us,2021-01-06,73.2623,326350.8763,48
565,ut,2021-01-06,75.1524,3272.9816,31
566,va,2021-01-06,75.2928,9317.5885,20
567,vt,2021-01-06,83.212,1098.0015,0
568,wa,2021-01-06,80.7016,8249.567,32
569,wi,2021-01-06,76.0603,6245.9437,31
570,wv,2021-01-06,68.6294,2965.1581,0
571,wy,2021-01-06,61.1447,764.7773,0
