,time_value,trend,geo_value
668,2020-10-21,80,us
669,2020-10-21,53,ut
670,2020-10-21,74,va
671,2020-10-21,38,vt
672,2020-10-21,62,wa
673,2020-10-21,37,wi
674,2020-10-21,47,wv
675,2020-10-21,10,wy
676,2020-10-22,11,ak
677,2020-10-22,72,al
678,2020-10-22,52,ar
679,2020-10-22,86,az
680,2020-10-22,77,ca
681,2020-10-22,78,co
682,2020-10-22,44,ct
683,2020-10-22,60,dc
684,2020-10-22,32,de
685,2020-10-22,79,fl
686,2020-10-22,72,ga
687,2020-10-22,40,hi
688,2020-10-22,37,ia
689,2020-10-22,18,id
690,2020-10-22,86,il
691,2020-10-22,78,in
692,2020-10-22,82,ks
693,2020-10-22,83,ky
694,2020-10-22,70,la
695,2020-10-22,90,ma
696,2020-10-22,59,md
697,2020-10-22,55,me
698,2020-10-22,81,mi
699,2020-10-22,65,mn
700,2020-10-22,62,mo
701,2020-10-22,73,ms
702,2020-10-22,42,mt
703,2020-10-22,64,nc
704,2020-10-22,34,nd
705,2020-10-22,68,ne
706,2020-10-22,27,nh
707,2020-10-22,76,nj
708,2020-10-22,72,nm
709,2020-10-22,50,nv
710,2020-10-22,79,ny
711,2020-10-22,51,oh
712,2020-10-22,73,ok
713,2020-10-22,81,or
714,2020-10-22,59,pa
715,2020-10-22,44,ri
716,2020-10-22,75,sc
717,2020-10-22,19,sd
718,2020-10-22,79,tn
719,2020-10-22,68,tx
720,2020-10-22,80,us
721,2020-10-22,48,ut
722,2020-10-22,60,va
723,2020-10-22,19,vt
724,2020-10-22,75,wa
725,2020-10-22,40,wi
726,2020-10-22,31,wv
727,2020-10-22,27,wy
728,2020-10-23,11,ak
729,2020-10-23,92,al
730,2020-10-23,45,ar
731,2020-10-23,85,az
732,2020-10-23,86,ca
733,2020-10-23,66,co
734,2020-10-23,65,ct
735,2020-10-23,62,dc
736,2020-10-23,39,de
737,2020-10-23,86,fl
738,2020-10-23,82,ga
739,2020-10-23,46,hi
740,2020-10-23,35,ia
741,2020-10-23,44,id
742,2020-10-23,81,il
743,2020-10-23,76,in
744,2020-10-23,70,ks
745,2020-10-23,85,ky
746,2020-10-23,61,la
747,2020-10-23,71,ma
748,2020-10-23,66,md
749,2020-10-23,58,me
750,2020-10-23,80,mi
751,2020-10-23,74,mn
752,2020-10-23,61,mo
753,2020-10-23,35,ms
754,2020-10-23,64,mt
755,2020-10-23,58,nc
756,2020-10-23,15,nd
757,2020-10-23,53,ne
758,2020-10-23,39,nh
759,2020-10-23,91,nj
760,2020-10-23,27,nm
761,2020-10-23,76,nv
762,2020-10-23,85,ny
763,2020-10-23,71,oh
764,2020-10-23,59,ok
765,2020-10-23,73,or
766,2020-10-23,49,pa
767,2020-10-23,44,ri
768,2020-10-23,48,sc
769,2020-10-23,33,sd
770,2020-10-23,75,tn
771,2020-10-23,74,tx
772,2020-10-23,86,us
773,2020-10-23,55,ut
774,2020-10-23,90,va
775,2020-10-23,10,vt
776,2020-10-23,88,wa
777,2020-10-23,40,wi
778,2020-10-23,12,wv
779,2020-10-23,19,wy
780,2020-10-24,24,ak
781,2020-10-24,72,al
782,2020-10-24,85,ar
783,2020-10-24,98,az
784,2020-10-24,77,ca
785,2020-10-24,79,co
786,2020-10-24,100,ct
787,2020-10-24,73,dc
788,2020-10-24,71,de
789,2020-10-24,91,fl
790,2020-10-24,67,ga
791,2020-10-24,62,hi
792,2020-10-24,43,ia
793,2020-10-24,61,id
794,2020-10-24,100,il
795,2020-10-24,65,in
796,2020-10-24,67,ks
797,2020-10-24,63,ky
798,2020-10-24,100,la
799,2020-10-24,97,ma
800,2020-10-24,69,md
801,2020-10-24,40,me
802,2020-10-24,84,mi
803,2020-10-24,65,mn
804,2020-10-24,71,mo
805,2020-10-24,56,ms
806,2020-10-24,57,mt
807,2020-10-24,71,nc
808,2020-10-24,23,nd
809,2020-10-24,56,ne
810,2020-10-24,29,nh
811,2020-10-24,74,nj
812,2020-10-24,55,nm
813,2020-10-24,84,nv
814,2020-10-24,94,ny
815,2020-10-24,63,oh
816,2020-10-24,66,ok
817,2020-10-24,65,or
818,2020-10-24,59,pa
819,2020-10-24,48,ri
820,2020-10-24,57,sc
821,2020-10-24,51,sd
822,2020-10-24,92,tn
823,2020-10-24,87,tx
824,2020-10-24,91,us
825,2020-10-24,32,ut
826,2020-10-24,87,va
827,2020-10-24,31,vt
828,2020-10-24,54,wa
829,2020-10-24,38,wi
830,2020-10-24,29,wv
831,2020-10-24,27,wy
832,2020-10-25,34,ak
833,2020-10-25,71,al
834,2020-10-25,56,ar
835,2020-10-25,77,az
836,2020-10-25,88,ca
837,2020-10-25,74,co
838,2020-10-25,67,ct
